N_Hologramme,barycentre_X,barycentre_Y,barycentre_Z,nb_pix,filename
1,0.00,0.00,0.00,440,100um_40x_14_nl.7eppfsqj.000000.bmp
2,0.00,0.00,0.00,63,100um_40x_14_nl.7eppfsqj.000001.bmp
3,0.00,0.00,0.00,33,100um_40x_14_nl.7eppfsqj.000002.bmp
4,0.00,0.00,0.00,10,100um_40x_14_nl.7eppfsqj.000003.bmp
5,0.00,0.00,0.00,97,100um_40x_14_nl.7eppfsqj.000004.bmp
6,0.00,0.00,0.00,73,100um_40x_14_nl.7eppfsqj.000005.bmp
7,0.00,0.00,0.00,44,100um_40x_14_nl.7eppfsqj.000006.bmp
8,0.00,0.00,0.00,10,100um_40x_14_nl.7eppfsqj.000007.bmp
9,0.00,0.00,0.00,18,100um_40x_14_nl.7eppfsqj.000008.bmp
10,0.00,0.00,0.00,38,100um_40x_14_nl.7eppfsqj.000009.bmp
11,0.00,0.00,0.00,10,100um_40x_14_nl.7eppfsqj.000010.bmp
