# HoloTracker Batch Processing Results
# Generated on: 2025-10-17 09:58:21
#
# CONFIGURATION PARAMETERS:
# Hologram Directory: C:/TRAVAIL/RepositoriesGithub/HOLOTRACKER_FULL_PYTHON/Film REF
# Mean Hologram File: C:/TRAVAIL/RepositoriesGithub/HOLOTRACKER_FULL_PYTHON/Film REF\mean\mean_log.tif
#
# HOLOGRAM PARAMETERS:
# Wavelength (m): 660e-9
# Medium Optical Index: 1.33
# Hologram Size X: 1024
# Hologram Size Y: 1024
# Pixel Size (m): 5.5e-6
# Objective Magnification: 40
#
# PROPAGATION PARAMETERS:
# Distance Initial (m): 10e-6
# Number of Planes: 220
# Step (m): 0.5e-6
#
# FOURIER FILTER PARAMETERS:
# High Pass: 15
# Low Pass: 200
#
# FOCUS PARAMETERS:
# Focus Type: SUM_OF_VARIANCE
# Sum Size: 15
#
# ANALYSIS PARAMETERS:
# Remove Mean: True
# Cleaning Type: subtraction
# Batch Threshold: compute on 1st hologram
#
# CCL PARAMETERS:
# Threshold (Nb StdVar): 12
# Connectivity: 26
# Min Voxel: 10
# Max Voxel: 0
#
# DATA COLUMNS:
HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,1.37464313e-11,5.64788534e-11,6.45231012e-13,80
1,2,4.33284840e-11,9.21497849e-11,1.10345400e-11,8180
1,3,4.09866698e-11,1.08866087e-10,5.86451233e-12,5721
1,4,3.51881886e-12,1.34419737e-10,1.13195790e-12,178
1,5,4.39125870e-11,8.84235560e-11,1.61973423e-12,145
1,6,4.37694216e-11,9.00433297e-11,1.54496172e-12,22
1,7,4.41492239e-12,1.33731795e-10,2.39051565e-12,27
1,8,1.35474984e-11,5.63668982e-11,4.08903225e-12,17
1,9,4.09420827e-11,1.09993111e-10,1.39996291e-11,38
1,10,9.63447892e-11,1.50579435e-11,3.05248577e-11,4708
1,11,7.17554121e-12,5.65687296e-11,3.17668892e-11,6804
1,12,1.38990561e-12,2.72638845e-11,3.34962497e-11,5271
1,13,7.23363701e-12,2.30786718e-11,3.26378577e-11,1791
1,14,7.58290480e-11,8.25348325e-11,3.28756178e-11,5757
1,15,1.06554871e-10,4.50034931e-11,3.66728600e-11,179
1,16,7.55840883e-11,8.17489563e-11,3.64502775e-11,241
1,17,1.39984419e-10,2.74261820e-11,3.89191518e-11,943
1,18,1.31735884e-10,1.36633025e-10,4.58635877e-11,6529
1,19,1.05336359e-10,4.29750180e-11,4.71041822e-11,15363
